날짜,요일,시간,,토론,긍부정여부,예측한 날,2,1
2020년 9월 1일 화요일,화요일,21,43,카카오게임즈 청약. 소문난 잔치에 먹을 거 없다~,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,21,12,좌카오 내일,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,20,50,"""나 혼자 레벨업"" 카카오스토리",0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,20,19,SK 바이오팜 은 바이오 유행하니...,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,20,19,카카오게임즈 24000원이라는데,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,20,5,코로나 확진자 실시간 정보,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,50,시외 팔지마라ㅡ개관이 산다,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,45,안티,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,45,안티,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,30,카카오게임즈 목표주가가,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,13,시간외단일가 +-5%이상아니면 의미없다,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,12,게임즈 뱅크상장후 폭락 30만원 sk꼴,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,8,카카오는 조정입니다. 쫄 필요 없어요.,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,8,카카오가 무슨 동네 야채가게냐? 뭘 떡락에 무지인들아,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,19,6,카카오랑 스크를 비교하다니 읔ㅋ,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,59,100만원 밑에서는 팔지마라.,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,50,42만은 단기최고점이였지ㅎ 폭락의전초다 튀어라ㅎ,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,50,외인 기관 동시매도가 3일째네요.,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,46,카카오게임즈 상장하게 되면,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,43,죄송합니다.,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,38,카카오게임즈 상장하면,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,32,나스닥 폭등 예고,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,31,동학의 복수,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,13,모레다,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,10,이거 주가 왜이래?,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,5,카톡에 가서 #누르고 카카오 tv좀 보세요. 공짜입니다. 연애혁명 개인 취향 ㅋㅋ,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,2,20 30 40 50은 카카오로 부자됩시다.,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,18,2,18:00 시간외 거래,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,56,오늘털린호구들아,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,52,카카오는,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,51,솔직히 네이버가 나은듯,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,36,카카게임즈,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,19,카카오 게임즈 공모 떨어진 그많은 현금,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,19,카카오 팔아서,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,17,11,지금 시외,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,58,카카오가 하는건 지금 당장 사둬라,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,49,역시쎄하더만 고점이었니 ㅋㅋ,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,45,최종은 50조 넘을 것같군 ! 첫날16.5조 !!!,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,42,blac*** 글 잘쓰네! 주인에게 사료 못 먹더니^^*,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,25,카카오M,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,17,오늘도 선방했네,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,16,1,삶을 계획과 목표을 잡고 살아야지.,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,8,40,잡카오 털고 테슬라로 오세요,0,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,8,38,잡카오 털고 테슬라로 오세요,0,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,8,16,잔치기잔치기 잔잔잔 자~~~ 갑니다,1,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,7,50,노마스크 주둥이 단속좀...,0,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,7,25,킹카오 갓슬라 주린이입니다,1,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,7,10,오늘 42만원 목표,1,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,0,59,테슬라 급등은 내일 카카오에도 호재네,1,2020년 9월 1일 화요일,,
2020년 9월 2일 수요일,수요일,23,41,개거품2,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,23,14,개미도 주식 대차 거래 가능하냐?,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,22,39,낼은,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,21,40,어차피 언택트시대요!,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,21,40,카카오 게임즈 청약신청할 때 신청수량,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,21,39,**허허 형이다,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,21,36,코로나 끝나면카카오 골로 가나요?,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,21,32,2천만원 청약해서 카카오게임즈,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,20,36,200억의 눈으로 보는기업들,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,20,18,카카오는,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,20,7,내일은 더 오릅니다,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,19,55,현시점 추매vs추미애 당신의 선택은?,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,56,8만원 할때부터 50만원 간다고 맨날 글적엇는데..,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,55,ㅎ,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,40,청약,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,26,sk 예를 들어보면,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,14,게임 끝,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,9,"## 이거이거 난리 난리,,개난리 !!",0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,18,2,장외가..낼 관계는 없으나^^,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,17,45,형들 ipo끝나면 모기업은 어떻게 됨??,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,17,31,카카오도 액면분할 하나요???,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,17,30,조만간,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,49,3등신만 관망하고! 시간외 입성하셔서 수익내세요,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,48,405000원 10000주 쥬린이인데요,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,39,앞으로 카카오의 비젼 .설명,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,32,형님들 ! 조언 부탁드립니다.,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,26,카카오는 안망해 ㅋㅋ,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,26,카겜끝났으니 네이버가 아니라 카카오부터 오르지,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,25,카카오게임즈 공모주 청약 배정 소수점은 다 버림?,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,19,카겜 주주 현황,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,15,오늘은 올랐네;;,0,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,11,카카오게임즈가 9월11일 상장 시작하면...,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,16,7,개관들 공매도 친거 복구하느라,1,2020년 9월 3일 목요일,,
2020년 9월 2일 수요일,수요일,8,58,오늘 추매해야지,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,57,동학개미,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,47,ㅋㅋ청약,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,42,어제랑같은시세날듯,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,41,재,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,20,##[뉴스]적발·처벌 부동산분석원 만든다,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,15,코로나 총 확진자수를 보라,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,8,14,이제세상은,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,7,17,Sk바이오팜은 sk가 지주가 아니라 sk케미칼이 지주야.. 최태원 동생이 화장인,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,6,54,상장날 카카오를 sk에 비교하는 분들,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,5,20,## 나스닥 급등,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,4,59,낼 하안가다 ㅋㅋ내 불알검,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,3,8,이새긔 희대의 정신붕어네ㅉㅉ,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,2,39,카겜 못 산다면 돈이 어디로?,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,2,21,걍 닥티고 사라,1,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,1,5,그래도 요즘엔 유상증자 걱정 안하네,0,2020년 9월 2일 수요일,,
2020년 9월 2일 수요일,수요일,0,18,미국장을 보면서,1,2020년 9월 2일 수요일,,
2020년 9월 3일 목요일,목요일,23,55,의사 다음은 간호사?,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,23,44,솔직히 통신사가 네이버 카카오 죽일려면 쉽지안냐,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,23,3,평단 24 35에 절반 정리 하구 오늘 다 정리 했네요 고맙다 카카오,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,23,2,카오,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,22,46,오늘 매수한자가 승리자! 낼은 무조건 오르고,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,22,42,광고수입,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,21,38,한가지 Tip,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,21,27,카카오 내일전망 다음주 전망 알려주세요,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,20,53,카카오tv 대박,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,20,52,카카오 안빼는이유,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,20,50,내일,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,20,4,솔직히,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,19,45,97개 자회사 중 딱 1개,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,19,26,솔직히 카카오 지금많이올랐어도,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,19,17,★★★주식담보대출 우대금리★★★,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,18,14,와 카카오게임즈에 70대가 제일 큰 손,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,18,12,이십대 초반 주린이입니다..,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,16,43,카카오,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,16,35,카카오 떨어저도 다시오름 ㅋㅋ,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,16,23,왜이렇게,0,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,16,0,님들제가 2050년 미래보고왓습니다,1,2020년 9월 4일 금요일,,
2020년 9월 3일 목요일,목요일,8,54,카카오는,0,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,6,45,다들 무사하신가..,1,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,6,20,답변부탁요.,1,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,3,34,나 혼자 레벨업,0,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,2,44,100이상 갑니다,1,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,1,44,반등 뜻도 모르는 넘,0,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,0,35,코로나 추가 재정...,1,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,0,27,버블붕괴 ㅋㅋㅋ,1,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,0,16,카카오,0,2020년 9월 3일 목요일,,
2020년 9월 3일 목요일,목요일,0,12,애플 아마존떡락중,0,2020년 9월 3일 목요일,,
2020년 9월 4일 금요일,금요일,23,55,정신차려라ㆍ망상에 사로잡혀계속들고 있다간,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,53,나스닥 4프로 폭락,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,53,신의 한수였네..,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,50,육개장 내오거라,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,50,나스닥 그래도 폭락은 아니네요!,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,46,미국판 공매도냐,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,35,원정개미들 국내주식으로 돌아오는 계기네요,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,34,느낌이 않좋아,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,28,지금은 싸워볼만함,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,26,아~역시 이번엔 그냥 안지나가네요!,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,23,26,설마 설마했는데...,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,22,38,앞으로도 주식/아파트 30-50% 폭등이 남아있다.,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,22,31,카카오게임즈 1억에 몇주 배정되나요?,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,21,55,자 이제 옥상구경했으니 지하실 쳐박힐 차례,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,21,36,카카오 게임즈,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,19,52,시외 얼마예요?,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,19,20,증시 대붕괴의 전조,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,19,7,코로나로 흥한 주식!,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,18,28,백신나오면 12만 갈주식,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,18,7,"언제까지 미국,북한 눈치보며",1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,49,안티,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,47,●●●●●카카오 주주님들 필독 63●●●●●,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,39,미국장 오늘도 폭락이면?,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,37,야당 당명 또 바꾸냐?ㅋ,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,21,공짜게시판안티들은=좀비족속들,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,17,17,그리고 내 이름 밑에도 지우래 ....,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,16,25,카카오는 죽지안는다,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,16,19,오늘 새벽에는 정말,0,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,16,17,어차피,1,2020년 9월 7일 월요일,,
2020년 9월 4일 금요일,금요일,8,58,얼마에 추매 하면 좋을까요?,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,58,장개시 매수 매수 지금은 일단 안 되고 있음!!!,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,57,오늘 몇시까지 돈 입급하면 됩니까?,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,56,ㅈ댔네......,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,55,어금니 꽉 깨물어라,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,54,카카오 지금안사면후회한다진심,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,54,졸라사야되는데,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,53,줍줍,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,52,오늘들어가면,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,52,아 ㅅㅂ ㅈ?네,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,50,대량추매찬스,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,48,전체하락인데도 매수세가 카카오가젤좋네,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,47,떨어지면~~~,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,45,어제 말해줬지?,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,44,호가창,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,44,개,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,41,변종 공매도 조사 청원(펌글),0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,37,안티들 대거등장 ㅋ,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,37,갓카오가,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,35,그나마 코로나 상황에서는,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,33,다들 폭락 분위기 조성하느라 바쁘네,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,32,시초가,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,27,카카오는 최소 -6% 본다.,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,27,안티들 많은거보니,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,25,던져라,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,23,미국뿐만 아니라 유럽도 싹다 폭락했음,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,22,폭락,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,15,5년간,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,9,6월달 비슷한 경험으로,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,6,ㅋ,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,5,드디어 대폭락 거품 꺼지나.,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,8,1,주주님들 모두 좋은하루^^/,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,51,언제까지 미국증시 따라갈건데 우리의 힘을보여주자,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,48,아가리파이터들 많네!,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,33,사고싶어 안달나지,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,31,"미국 증시 뭐가 어쩐다고 파리, 모기 벌레들",0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,30,-20프로,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,7,24,단타쟁이들,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,6,56,오늘 하락장은 피할수 없을거 같네요,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,6,41,매수타이밍이다,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,6,20,[미국증시 하락과 국내증시 영향,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,6,0,"재료가 있어 떨어져도 반등 클것 같은데요, 카켐 청약 증거금 받는 날인데 매수세 클듯",0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,5,59,폭락하면 줍줍해야지..,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,5,55,나스닥 꼬라지가,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,4,59,어떻게든 싸게 한번 사볼꺼라고 열심히 글 적네,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,4,49,40층 손,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,4,1,내일 개미들 패닉 매도,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,3,40,금욜에 튀어야지 토욜 일욜에는 탈출기회도 읍따,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,3,35,많이 떨어져도 38,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,3,22,내일 오를 가능성은 전혀 없나요??,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,3,10,나스닥 만스닥 되고 담날 바로,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,2,57,신용 아니면 존버,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,2,33,얘는 뭐랑 관련임?,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,1,30,카카오 기업에 뭐 문제 없잖아?,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,1,20,돈다벌었겠네,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,1,18,???예언가,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,1,14,이와중에 버라이즌 상승 ㅋㅋㅋㅋㅋ,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,35,이번에빠지면 20년각이다,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,34,거품은 이렇게 빠집니다 ~,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,32,언텍에서 컨텍으로,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,26,하한가~하한가 ~신나는 노래~,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,25,나스닥 1퍼대떨어져도,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,24,나스닥 5.27프로 폭락했던,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,24,ㅋㅋㅋㅋㅋ,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,20,다 필요없고 형이 정리한다,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,18,D질준비?니?,1,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,9,내일 0%시작,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,6,여기까지가 끝인가보오,0,2020년 9월 4일 금요일,,
2020년 9월 4일 금요일,금요일,0,6,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좌카오 찬티들,0,2020년 9월 4일 금요일,,
