날짜,토론,label
2020.11.29 18:15,안올라도 좋다 이거야,1 
2020.11.29 18:11,낼 카카오 38 뚫나여~?,1 
2020.11.29 17:53,네이이버는 현대차랑 손잡았는데,0 
2020.11.29 17:26,최악의 기업 카카오,0 
2020.11.29 16:29,네이버 현대차 MOU,
2020.11.29 13:52,■ 윤석열과 홍석현의 심야회동... 목격자들!!!■,
2020.11.29 13:14,검찰개혁 못하면 대재앙 맞는다!!,
2020.11.29 13:02,카카오는 팔면 안되는주식 ㆍ한국의아마존 되겠네요,1 
2020.11.29 13:02,나라가 왜이리도,
2020.11.29 12:58,청와대 청원 (공매도 재개 반대),
2020.11.29 12:49,"파괴적혁신의 주역, 네이버리피케이션과 카카오드!!",
2020.11.29 09:15,逆走行투자---->한국인의 눈물..,
2020.11.29 09:08,여기 안티들에게,1 
2020.11.29 08:44,크게 갈라면 25만원 한번 와야한다....,0 
2020.11.29 03:18,"주포 똘10,000 이 ?",
2020.11.29 08:38,내가 이래서 LG화학 놓쳤지 인생의 기회였는데,
2020.11.29 08:12,월요일 진짜 손절 합니다 ㅋ,0 
2020.11.28 22:38,카카오 이모티콘 택시 겁나 친절하시다,1 
2020.11.28 22:36,이것때문에 내년 3월안에 급상승 턴 한번 더온다.,1 
2020.11.28 22:36,카카오택시는 딴 택시보다 싸다,1 
2020.11.28 20:43,길거리보행흡연은 타인에게피해을 줍니다 쓰레기짓 역겨운 민폐덩어리들아,
2020.11.28 20:28,쩝. 이 종목 끝까지 손이 안간당.,0 
2020.11.28 20:21,뉴스에서두,
2020.11.28 20:16,45만원ㅡ 50만원 구간 언제쯤 올까요?,1 
2020.11.28 20:03,북한사람들이 카카오톡을 사용한다면..,
2020.11.28 20:03,북한사람들이 카카오톡을 사용한다면..,
2020.11.28 19:47,"(업데이트 수정)동학개미의 실체를 까발려 주꾸마,,",
2020.11.28 19:16,리얼리? 좋은 내용 많은 유투브 참고하세영,
2020.11.28 17:42,희망고문 ㅜㅜ,0 
2020.11.28 16:05,"GS25, 배달서비스 확장 본격화···""카톡으로 주문하세요""",1 
2020.11.28 15:33,카카오 장투종목 ㅎㅎ,1 
2020.11.28 15:08,해운업 4분기 영업,
2020.11.28 14:28,다음주 40만 찍자...그리고 내려오지마라. 이제.,1 
2020.11.28 12:37,카카오와 이런 호재가?,1 
2020.11.28 11:57,2차전지 렐리가 주춤해질때쯤 언택이 상승하지않을까,1 
2020.11.28 11:07,■종부세 폭탄이라고 떠드는 기레기들~■■,0 
2020.11.28 10:49,실수요자 중심 주택청약개선 국민청원,
2020.11.28 06:18,공포의'D'기 온다..삼성이 본사 사옥까지 팔아서 모은 현금 100조를 미리 대기중인 이유,0 
2020.11.28 05:15,공유 레버리지 / FX마진가상 / 사기 거래에 조심하세요,
2020.11.28 03:40,대본보다 놀랍고 더 재미있는 성경 조혜련,
2020.11.28 03:36,이대로 계속 당할 것인가??,
2020.11.28 03:33,평단,
2020.11.28 02:14,노숙자였던탈렌트최수종 용산구청 내가지었다,
2020.11.28 02:12,케빈제다이주님눈동자속에엄마배속에잉태되는내모습을봄,
2020.11.28 02:09,사두선다 나현숙목사님 초강력 21년역병예언,
2020.11.28 01:58,손절.유영두 옆작두.,
2020.11.28 00:36,카카오 노답,0 
2020.11.28 00:35,이나라는 대통령은 없고 대깨문 교주뿐?,0 
2020.11.28 00:14,[카카오엔 카카오가없다],
2020.11.27 23:38,네이버포인트 5천원받아가,
2020.11.27 23:13,카카오 주식차트분석 및 상승여력 전망,
2020.11.27 23:12,거래량없고 저점이고 관심 없을때 많이담자,1 
2020.11.27 23:12,드디어 출발하려나봅니다,1 
2020.11.27 22:58,다음주는 드디어,1 
2020.11.27 22:46,카카오,
2020.11.27 22:41,"카카오 모빌리티, 군집주행 실제 도로 주행 성공",
2020.11.27 22:26,오늘도 역시나 파란불. ㅠ,0 
2020.11.27 22:16,카카오단기추세밍30일~고점매도및저점매수가격,
2020.11.27 22:09,빅뉴스네요,
2020.11.27 21:13,왜?,
2020.11.27 20:10,야 카뱅 언제 상장하냐?,
2020.11.27 20:33,야 카뱅 언제 상장하냐?,
2020.11.27 19:20,형아 지수에 상관없이 한달에 500퍼센드 먹으면 고수냐,
2020.11.27 18:01,"400,000 원에 10,000,000 주만 사 두거라",1 
2020.11.27 17:29,어떤 x새끼가~!?,
2020.11.27 17:29,어떤 x새끼가~!?,
2020.11.27 20:36,어떤 x새끼가~!?,
2020.11.27 17:20,카카오 주주들을 위한 퀴즈!!!!!!!!!!,
2020.11.27 17:13,수급은 오늘 엄청 안좋네,0 
2020.11.27 17:05,결국 실적에 수렴하게 됨.,
2020.11.27 16:19,떨어질줄 몰랐네요.. 어떻하죠..?,0 
2020.11.27 15:56,ㅡㅡㅡ,
2020.11.27 15:43,찌끔씩 올리고 내리면서 우상향중,1 
2020.11.27 15:41,☆☆《카카오》마감시황《속보》 ☆☆,
2020.11.27 15:39,외인도,
2020.11.27 15:38,어제오른거에비하면,0 
2020.11.27 15:37,이좋은장에 뭐 하누,0 
2020.11.27 15:35,카카오,
2020.11.27 15:34,ㅋㅋㅋㅋㅋㅋㅋ 꿀잼이네,
2020.11.27 15:32,네이버한테 역전,0 
2020.11.27 15:24,25일 음봉,0 
2020.11.27 15:21,보합으로 마감하자,0 
2020.11.27 15:13,또 시작이냐..,0 
2020.11.27 15:12,조정이 길어질수록....슈팅의 높이는 높아진다. 기다리면서 물량 늘리는 사람만 좋은 ㅋㅋ,1 
2020.11.27 14:57,다음주는 카카오 차례로 하자. 너무 쉬었다. 고마 쉬어라.,1 
2020.11.27 14:57,다음주는 카카오 차례로 하자. 너무 쉬었다. 고마 쉬어라.,1 
2020.11.27 14:56,"년말목표가 987,000 원 제시합니다",1 
2020.11.27 14:55,네이버한테도 밀리네요ㅜㅜ,0 
2020.11.27 14:54,37만원 매물벽이 엄청남,0 
2020.11.27 14:47,앵두 방송에 채팅댓글,
2020.11.27 14:42,앵두 오늘 방송 핵심,
2020.11.27 14:39,해외주식이 대세긴 하네요,0 
2020.11.27 14:35,3개월 보고 들어왔어요,1 
2020.11.27 14:32,어쩐지,
2020.11.27 14:29,대세는,
2020.11.27 14:25,이 주식은 기관이 들어오지 않는 한,0 
2020.11.27 14:18,영두 왈 (예상),
2020.11.27 13:56,"누군가의 카카오, 어디까지 가봤니?",
2020.11.27 13:56,추매ㄱㄱ,1 
2020.11.27 13:54,올해는 배당 많이 주겠죠?,
2020.11.27 13:50,힘내자..,1 
2020.11.27 13:43,배당 줄거냐?,
2020.11.27 13:42,외처보는 그의 이름,
2020.11.27 13:29,500000윈간다,1 
2020.11.27 13:19,앵두나무 방송 켰다!,
2020.11.27 13:12,누르는걸까요?,
2020.11.27 13:05,아마 그분 영향이 없진않은듯,
2020.11.27 13:04,진짜 이거 개잡주네..,0 
2020.11.27 12:53,기회비용이 뭔지 아는사람?,
2020.11.27 12:51,그냥 연말까지 횡보할 종목,0 
2020.11.27 12:50,안 오네요....,0 
2020.11.27 12:48,카카오 살돈으로 다른거 샀으면 지금쯤..,0 
2020.11.27 12:33,다른 종목...,0 
2020.11.27 12:30,자자 고객예탁금 어마한 강세장..다시 오후에 쳐 말아 올리자 동학들,1 
2020.11.27 12:25,역시 이 주식은 개미들의 무덤,0 
2020.11.27 12:39,역시 이 주식은 개미들의 무덤,0 
2020.11.27 12:22,혹시,
2020.11.27 12:21,2022년 영업익 1조 돌파,1 
2020.11.27 12:19,카카오모빌 물류 자율주행 되는날 끝난다,1 
2020.11.27 12:05,다음주는,
2020.11.27 12:04,여긴뭐 자유 적금 주식임?,0 
2020.11.27 11:56,개관 곱버스 마이샀단다,0 
2020.11.27 11:46,37층주민입니다..,0 
2020.11.27 11:45,ㅋㅋ,
2020.11.27 11:37,오늘은 외인때매 이정도 떨어진겨,0 
2020.11.27 11:37,오늘은 외인때매 이정도 떨어진겨,0 
2020.11.27 11:37,퐁당퐁당,0 
2020.11.27 11:36,우리회사에 도라이 신입 들어왔다,
2020.11.27 11:32,영두 자기도 지겹겠지 똑같은말하기 ㅋㅋ,
2020.11.27 11:28,오늘도 네이버 승,0 
2020.11.27 11:27,6개월바라보고 산건데 2년으로 수정.......,0 
2020.11.27 11:27,ㅋㅋ카카오는 하락할때 토론방 보는재미가 있음,0 
2020.11.27 11:11,조만간 카카오로 세금납부,
2020.11.27 11:10,카카오는 간다,1 
2020.11.27 11:05,향후,
2020.11.27 10:54,카카오페이 관련 질문입니다,
2020.11.27 10:58,카카오페이 관련 질문입니다,
2020.11.27 10:53,우상향중인데,1 
2020.11.27 10:52,곱버스,
2020.11.27 10:48,카카오,
2020.11.27 10:54," "" 구조대 옵니까 ? """,0 
2020.11.27 10:42,어떻?히가 오늘 상이라고 했니?,0 
2020.11.27 10:39,라이브바송,
2020.11.27 10:32,그냥 확올려버려^^39층 ㅇㅋ?,1 
2020.11.27 10:28,빼지마라,0 
2020.11.27 10:24,진짜 못가네,0 
2020.11.27 10:24,기관ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2020.11.27 10:22,개인투자자 매도 속출,0 
2020.11.27 10:21,역시 오늘 예상대로 흐르는구나,
2020.11.27 10:21,유튜버 말 한마디에,
2020.11.27 10:18,덩치 큰 단타쟁이들,
2020.11.27 10:18,어제 내일 5%상승이라했던놈 나와라,0 
2020.11.27 10:17,영두성을 믿어라!,
2020.11.27 10:12,카카오,
2020.11.27 10:11,왜이러는걸까요?,0 
2020.11.27 10:10,잘 먹고갑니다..불안해서 매도,0 
2020.11.27 10:04,앞으로 카카오 전망은 어떨까요?,
2020.11.27 09:54,삼전이 주도주같다,0 
2020.11.27 09:51,오후장 개폭락한다,0 
2020.11.27 09:37,시중 유동성이 풍부하다보니,
2020.11.27 09:37,기관매도세 때문에,0 
2020.11.27 09:35,카카오는,
2020.11.27 09:32,오늘 강하게 38 뚫는 챠트인데. 뭘 망설이나. 선반영 해라.,1 
2020.11.27 09:32,이만한 가치주가 있니,1 
2020.11.27 09:29,매도벽빼라,1 
2020.11.27 09:26,매국노 개관은 3000넘어가도..오로지 매도만 할 듯.,0 
2020.11.27 09:26,도대체 36~38층에는 얼마나 많은 OOO들이 존재하는걸까?,0 
2020.11.27 09:22,개관,0 
2020.11.27 09:09,누가 그랬지,
2020.11.27 09:03,뭐더냐,
2020.11.27 09:01,느낌이 쌔하네,0 
2020.11.27 06:46,기사) 12월 신흥국 외국인 자금 대규모 유출,0 
2020.11.27 06:16,주식은 순환매다.,0 
2020.11.27 02:53,오늘도,
2020.11.27 01:40,카카오는 배당락 걱정할 필요없지롱 ㅋ,
2020.11.27 01:09,속보 공유합니다.,
2020.11.27 01:02,친절한 안티들이 많네요,1 
2020.11.27 00:16,☆ 늦은밤 ~ 마음의 ~ 힐링 <속보> ☆,
2020.11.26 23:33,사도 괜찮을까요??,
2020.11.26 23:20,새로나온 카카오메일 pc버전,
2020.11.26 22:59,미국장 오늘 쉼?,
2020.11.26 22:39,"년말목표가 987,000 원 제시합니다",1 
2020.11.26 22:59,"년말목표가 987,000 원 제시합니다",1 
2020.11.26 22:28,난 솔직히 농담따먹기 없음,
2020.11.26 22:04,보안 취약한 인증·오픈뱅킹… 한 곳 뚫려도 모든 계좌 털린다.ㅋ,
2020.11.26 20:54,어제 속임수음봉이구먼,
2020.11.26 20:43,LG화학 물적분사이슈로 주가 곤두박질할때부터,
2020.11.26 20:31,카카오 다시 들어가고 싶어도,0 
2020.11.26 20:13,카카오는 구글때문에 가격하락할듯,0 
2020.11.26 21:41,내년 12월로 연기되었고 신규앱만 적용,
2020.11.26 23:35,카카오는 구글때문에 가격하락할듯,0 
2020.11.26 20:05,카카오 전고점 돌파는 언제?,0 
2020.11.26 19:05,뭐?,
2020.11.26 18:58,내일은카카오다,1 
2020.11.26 18:29,2021년 카카오 100만원 갑니다,1 
2020.11.26 17:34,결국 이러니 저러니해도,
2020.11.26 17:04,어우 일봉 차트너무좋다,1 
2020.11.26 17:03,언제 40찍어까?,1 
2020.11.26 16:55,여윽시,
2020.11.26 16:53,"목표가 987,000 원 제시합니다",1 
2020.11.26 16:28,개인이,
2020.11.26 16:13,곧 38선,1 
2020.11.26 16:06,왜 이렇게 힘을못쓰나!,0 
2020.11.26 16:02,의미있는날,
2020.11.26 16:01,☆☆《카카오》마감시황《속보》 ☆☆,
2020.11.26 15:59,보수적으로 잡아도....,
2020.11.26 15:56,내가 아침 에 1만원은 오른다고 예측한 사람인데,
2020.11.26 15:53,top10,
2020.11.26 15:51,이제 올라갈듯,1 
2020.11.26 15:26,ㅉㅉ,
2020.11.26 15:24,주가 안올라도 좋다 이거야,1 
2020.11.26 15:23,꼬시다,
2020.11.26 15:23,아쉽다,
2020.11.26 15:20,연기금,
2020.11.26 15:18,네이버한테 졌네..,0 
2020.11.26 15:18,"올해 40은 돌파해도, 45,50은 힘들겠쥬?",1 
2020.11.26 15:13,카카오 우상향~~`,1 
2020.11.26 15:10,앵두방송켰단다 폭망 ㅜ,
2020.11.26 15:08,45만원 언제 와주나요??,1 
2020.11.26 15:06,점차 에너지를 축척,1 
2020.11.26 15:03,내일은 시초부터 4~5% 반등이다....,1 
2020.11.26 15:02,"카카오.... 연말배당..1.9% '""~~",
2020.11.26 15:01,이제 곧 38층!!,1 
2020.11.26 14:57,앵두형님,
2020.11.26 14:56,영두형 예언자네,
2020.11.26 14:56,영두형 예언자네,
2020.11.26 14:50,오전에 개미들 많이팔았나요?,
2020.11.26 14:50,야~ 빙(신)아...오늘부터 랠리 시작이라고....,1 
2020.11.26 14:50,12월 1일 카카오 IR예정,
2020.11.26 14:50,지금 매수 타이밍 임,1 
2020.11.26 14:48,앵두 앵벌이방송만 아님 40가는데,1 
2020.11.26 14:46,40만 가서 놀아라. 가오 잡아라.,1 
2020.11.26 14:44,ㅅㅂ 왜 쳐오르냐?,1 
2020.11.26 14:44,아니 알바색기들도 대단하네 뭐가 맨날 긴급이냐,
2020.11.26 14:43,안전자산 카카오로 오세요~,1 
2020.11.26 14:43,손절 유영두 화이팅,
2020.11.26 14:41,어차피 기간조정은 계속 되어야함.,0 
2020.11.26 14:41,한번만 더 떨어지면 시직핑,0 
2020.11.26 14:35,똑같은 얘기 지꺼릴꺼면 방송 하지마라,
2020.11.26 14:35,짱깨시키야 좀 올라라,0 
2020.11.26 14:31,영차영차~,
2020.11.26 14:31,호재 뉴스나올때까지,1 
2020.11.26 14:26,어휴 언제 먹고 언제집살래,0 
2020.11.26 14:21,누가 매도를 누르는가?,0 
2020.11.26 14:20,오늘영두 라이브 안하냐 잘올라가네 ㅎㅎ,1 
2020.11.26 14:21,누가 매도를 누르는가?,0 
2020.11.26 14:20,오늘영두 라이브 안하냐 잘올라가네 ㅎㅎ,1 
2020.11.26 14:08,이딴게무슨 370000원?,1 
2020.11.26 14:07,카카오 본질을 보려면,
2020.11.26 14:06,5년만의 카카오 첫 수익실현,1 
2020.11.26 13:51,"카카오.... 연말배당..1.9% '""~~",
2020.11.26 13:44,카카오를 움직이는 보이지 않는 손,
2020.11.26 13:33,오늘로켓트차트봉이다,
2020.11.26 13:15,마 매도 빼라,1 
2020.11.26 13:08,일단 까까오 재미가 졸라 없네! 오르던,0 
2020.11.26 13:04,삼성증권 지속 매도중,0 
2020.11.26 12:56,담달에 30만까지 하락 가능성.,0 
2020.11.26 13:32,외인들 다 던지면,0 
2020.11.26 12:49,쉽게,
2020.11.26 13:36,카보딱 카보딱,0 
2020.11.26 12:19,네이버한테 지냐,0 
2020.11.26 12:18,오늘은 네이버 승,0 
2020.11.26 12:17,<코로나 19<확진>3차 대유행<속보>☆,
2020.11.26 12:16,다음과 카카오에 좋은 제안@@@@,
2020.11.26 12:15,개잡주 사지말고 네이버로 와라,0 
2020.11.26 12:09,네이버한테..,0 
2020.11.26 12:06,아직도 37이냐,0 
2020.11.26 12:00,기관이 개관이라 불리는 이유는,
2020.11.26 11:47,[모든것들문제의 핵심은 좀비가되어버린 인류다],
2020.11.26 11:45,올해 목표치가...,
2020.11.26 11:44,매수합 매도합 매매가 고장난듯,
2020.11.26 11:43,조선업 제2의 부흥온다.올바른 투자를 해야한다,
2020.11.26 11:33,카카오 1년 묻어뒀는데,
2020.11.26 11:27,3시 30분 카카오 종가 보합.,0 
2020.11.26 11:10,이 주식 올해는 끝났다.,0 
2020.11.26 11:00,점진적 우상향이 젤 무서움,
2020.11.26 10:59,종가,
2020.11.26 10:58,개 잡주시 또빌빌싼다,0 
2020.11.26 10:58,투자의견 48만원은 뭐냐 아 진짜,0 
2020.11.26 11:05,벌써 다음주로 다가왔네,
2020.11.26 10:53,오늘도 주린이 개미들 대탈출 하는 빠삐용데이구나,0 
2020.11.26 10:53,가즈아,
2020.11.26 10:47,하는 꼬라지 보니 종가는 보합.,0 
2020.11.26 10:44,가즈아,1 
2020.11.26 10:41,진짜,
2020.11.26 10:18,오늘도 방송이냐,
2020.11.26 10:11,어제 음봉 뜬 이유.txt,
2020.11.26 10:08,코로나 종식 모더나 백신 폭등,
2020.11.26 10:39,코로나 종식 모더나 백신 폭등,
2020.11.26 10:02,또 또 힘없제,0 
2020.11.26 10:01,아직 개미들 바글거리는거 보니,0 
2020.11.26 10:00,도대체,
2020.11.26 09:57,질문 좀..,
2020.11.26 09:57,멍청한 시키들.....외국인 매수 좀 보고....던져라....아놔..ㅋㅋㅋ,1 
2020.11.26 09:57,외계인 적극매수,1 
2020.11.26 09:56,미리사라,1 
2020.11.26 09:55,카카오는 떨어지면 추매 오르면좋고,1 
2020.11.26 09:54,주식은 파는게 아니다,1 
2020.11.26 09:54,진짜로..,
2020.11.26 09:53,326천대 잡아,1 
2020.11.26 09:53,오늘 뉴투브 앵두성님 가오잡는 날,
2020.11.26 09:53,지금 여기서 지지부진하지만 연말 피날레는,1 
2020.11.26 09:52,내년 카카오뱅크 상장까지 갖고갑니다.,1 
2020.11.26 09:52,팍팍? 언제쩍 엘리어트냐 어휴~,0 
2020.11.26 09:51,이거 유대금융자본이 매수하는 거 맞나요?,1 
2020.11.26 09:51,오늘확진자,
2020.11.26 09:50,사도괜찮을까요?!,
2020.11.26 09:51,사도괜찮을까요?!,
2020.11.26 09:48,때려죽여도 안팔아 ♥♥♥♥♥,1 
2020.11.26 09:48,담타자는 카카오여,1 
2020.11.26 09:47,500000,1 
2020.11.26 09:47,이번주 주봉 내일이 마지막 입니다,
2020.11.26 09:47,이번에 40만 돌파하면 이제 40만 안 내려온다.,1 
